ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
105,RIO HUASAGA,-2.524143278,-77.18293496,P5,2021//09/05,2021//09/05,20.6,6.8,8.5,94.9,3.6,0.87,1.63,14.5,2500,49.61,Mala,3
106,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2021//11/05,2021//11/05,19.8,6.4,9.26,103.65,6.1,0.28,1.56,11.3,700,55.28,Regular,2
107,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2021//11/05,2021//11/05,20,6.1,6.01,168.56,5.6,0.75,1.63,12.6,1500,45.59,Mala,3
108,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2021//11/05,2021//11/05,21.7,6.2,7.5,128.23,3.7,0.36,1.03,16.1,700,50.98,Regular,2
109,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2021//11/05,2021//11/05,20.7,6.1,9.36,95.8,6.3,0.28,0.59,15.5,900,51.59,Regular,2
110,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2021//11/05,2021//11/05,20.3,6.7,8.6,63.19,4.9,0.26,0.85,14.2,600,56.77,Regular,2
111,RIO HUASAGA,-2.717752305,-77.0210032,P1,2021//04/09,2021//04/09,19.7,7.4,8.87,64.23,4.8,0.59,0.81,13.5,600,54.85,Regular,2
112,RIO HUASAGA,-2.671703638,-77.08952686,P2,2021//04/09,2021//04/09,19.8,7.7,8.69,63.59,2.6,0.18,0.94,12.2,800,61.06,Regular,2
113,RIO HUASAGA,-2.63919923,-77.15375553,P3,2021//04/09,2021//04/09,20.6,7.3,8.78,89.5,3.9,1.01,1.02,14.1,1000,52.27,Regular,2
114,RIO HUASAGA,-2.575119785,-77.17003232,P4,2021//04/09,2021//04/09,21.4,7.7,6.23,90.02,3.5,1.02,0.79,12.8,1300,48.83,Mala,3
115,RIO HUASAGA,-2.524143278,-77.18293496,P5,2021//04/09,2021//04/09,22.2,7.4,7.63,48.26,6.1,1.01,0.75,13.1,600,50.67,Regular,2
116,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2021//07/09,2021//07/09,20,7.08,7.9,52.1,3.4,0.99,2.56,13.6,600,53.19,Regular,2
117,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2021//07/09,2021//07/09,20,7.7,7.56,54.6,3.8,0.63,2.08,12.6,600,54.85,Regular,2
